Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/PhoKO_1.bam	Fly/RNA_seq/PhoKO_2.bam	Fly/RNA_seq/PhoKO_3.bam	
lncRNA:CR43649	0	1	0	0	1	1	
lectin-21Cb	2	2	1	0	0	1	
lncRNA:CR44797	4	1	0	0	2	1	
lncRNA:CR44798	5	1	0	0	0	1	
lectin-21Ca	2	0	0	0	2	2	
CG2839	4	2	4	1	3	1	
lncRNA:CR45369	0	1	0	1	0	0	
ds	24931	25376	15973	15052	26369	22732	
lncRNA:CR44988	2	0	0	0	1	0	
lncRNA:CR46260	0	0	0	0	0	1	
Hsp60B	1	5	0	1	1	0	
Eaat2	2885	2688	1876	1814	2568	2115	
GABA-B-R3	913	809	525	689	988	763	
lncRNA:CR44614	0	0	0	0	0	0	
CG12506	13	26	28	1	1	3	
CG13946	15	28	69	0	0	24	
CG13947	498	997	799	336	700	668	
Gr21a	0	0	0	0	0	0	
CG3544	0	0	0	0	0	0	
Pkg21D	5	8	2	8	7	4	
lncRNA:CR45259	0	0	0	1	0	0	
Nnf1b	161	131	87	77	167	116	
Dbp21E2	1041	997	573	616	1008	837	
Saf6	1173	1114	708	688	1010	954	
Pex12	337	317	173	206	278	223	
CG15880	0	0	0	0	0	0	
PGAP2	709	756	487	422	567	513	
Clp	1218	1152	663	827	1128	1087	
CG3662	7147	6908	4578	4554	6868	6093	
CG3862	879	817	501	540	828	720	
dock	8298	8330	5236	5295	8082	7097	
drongo	6539	7258	3832	4428	7095	6569	
lncRNA:CR44060	0	0	0	0	0	0	
CG4291	740	713	457	416	707	645	
kraken	1432	1315	820	853	1268	1197	
CG13949	4	16	11	4	10	0	
lncRNA:CR45345	8	16	23	12	6	1	
mir-375	0	0	0	0	0	0	
CG13950	14	28	36	31	28	3	
aru	5503	5521	2846	3403	5485	4930	
snoRNA:Me28S-U1230	3	2	3	4	4	4	
dbe	2102	2119	1281	1355	2143	1924	
PNUTS	12453	11734	7780	6385	10727	9956	
CG15824	3	2	0	2	2	1	
ninaA	0	0	0	0	0	0	
lncRNA:CR45348	2	0	2	1	0	0	
Lsp1beta	38303	68402	9576	13097	14403	57550	
snRNA:U1:21D	0	2	0	0	0	0	
lncRNA:CR45261	0	0	0	0	0	0	
lncRNA:CR44061	0	0	0	1	0	0	
GluRIIC	49	40	27	41	40	24	
CG4341	3382	3143	2030	2220	2933	2600	
lncRNA:CR44801	0	0	1	0	1	0	
IA-2	24496	18009	15831	16716	21259	15908	
CG4375	0	6	0	1	0	0	
CG4415	7	5	5	10	9	5	
S	6065	5958	3530	4187	6414	5902	
ast	1359	1300	879	808	1142	1065	
Atg4a	2642	2741	1582	1562	2602	2256	
CG4629	371	357	249	265	360	279	
mtRNApol	1537	1380	918	1074	1448	1295	
CG14339	1	1	0	6	6	13	
CG14340	9	2	2	1	8	8	
Pino	3335	3367	1863	1964	3441	2651	
CG4552	1606	1643	937	1084	1610	1412	
Iris	9	9	5	7	6	8	
CG4577	3007	2230	1945	2315	2949	2249	
lncRNA:CR45717	2	3	3	7	10	7	
MFS3	6342	5663	3687	4412	6159	5151	
l(2)10685	610	564	330	348	513	474	
Tfb4	871	829	493	570	804	694	
Vps29	2066	2119	1137	1384	2053	1768	
capt	17703	18374	10536	10134	15293	13489	
asRNA:CR43767	0	0	0	0	0	0	
Tango14	707	717	407	474	634	545	
CG5080	1138	995	642	871	1086	759	
IntS14	1757	1700	946	1184	1655	1367	
CG14341	600	559	361	376	522	495	
Plap	8347	8263	4414	5201	7818	7107	
CG31922	250	182	148	147	180	174	
Charon	1251	1242	854	738	1144	1092	
CG4887	6473	6128	3722	4127	6323	5986	
CG4896	3762	3629	2278	1937	2828	2616	
CG5126	2088	2018	1208	1292	1890	1810	
Tgt	975	901	534	762	1013	976	
CG5001	1198	1209	664	703	1408	1088	
CG5139	5	4	4	2	2	2	
CG43348	3	1	1	3	0	50	
CG43349	28	41	60	75	2	101	
CG5011	3	8	3	23	0	9	
CG14342	2	4	1	3	3	0	
lncRNA:CR45346	0	0	0	0	0	0	
lncRNA:CR43263	0	0	0	0	0	0	
CG42329	8	16	9	22	13	4	
CG5397	1067	1243	675	671	1264	736	
robo3	4757	4327	2833	3189	4718	3972	
a5	0	0	0	0	0	0	
CG5440	0	0	0	0	0	0	
CG33923	0	0	0	0	0	0	
CG33922	0	1	0	0	0	0	
Cdlc2	1	4	1	5	5	5	
lncRNA:CR45005	4	0	0	2	2	1	
lncRNA:CR45006	0	2	0	0	0	0	
CG5556	0	0	0	0	0	0	
CG5561	0	0	0	0	1	1	
CG31924	1	2	0	0	0	0	
CG5565	0	2	1	3	4	2	
CG31659	9	3	4	1	2	5	
NLaz	916	1319	267	491	856	655	
CG14346	0	2	0	1	0	0	
lncRNA:CR44898	0	0	0	0	0	0	
robo2	9330	9143	5248	5484	9213	8397	
asRNA:CR44897	5	3	1	3	2	7	
CG43401	1	0	0	0	0	0	
snRNA:U3	0	0	0	1	0	0	
CG43402	0	1	0	6	0	3	
CG31928	1	0	0	0	0	0	
CG33128	245	0	7	1	4	62	
CG31926	1	0	0	0	0	1	
CG31661	0	0	0	0	0	0	
CG18131	3	4	0	0	2	5	
CG7420	372	414	262	241	315	260	
asRNA:CR44064	1	0	0	0	0	0	
CG18132	0	3	0	0	2	0	
halo	0	1	0	1	1	0	
Or22a	7	8	7	10	9	7	
Or22b	11	6	10	7	7	6	
haf	2168	2616	1031	1251	2247	1875	
CG10869	28	39	19	25	37	38	
CG31935	1510	1477	874	956	1422	1215	
CG14352	398	379	263	241	348	289	
RFeSP	4310	4375	2504	3237	4284	3795	
lncRNA:CR44603	1	3	1	0	5	3	
lncRNA:CR45695	0	0	0	0	1	2	
chinmo	5941	5039	4333	4676	6693	5525	
cpb	6491	7158	4153	4131	6616	5414	
CG17660	2631	2746	1743	1655	2553	2410	
asRNA:CR44976	1	0	0	0	1	3	
mRpL48	948	925	506	501	809	773	
frtz	1464	1457	799	916	1376	1297	
Rim2	1379	1374	868	986	1461	1335	
Eno	27780	28917	16835	19844	27945	25256	
Rrp40	874	818	421	568	741	746	
CG31937	1536	1445	778	899	1373	1163	
CG17652	664	588	389	376	578	550	
CG17646	1453	1447	653	808	1325	1092	
CG17712	1432	1480	787	957	1333	1205	
CG17648	0	0	1	0	0	0	
Gr22f	0	0	0	0	0	0	
CG17650	2	2	3	2	4	0	
Gr22e	0	0	1	0	0	0	
Gr22d	0	0	0	0	0	0	
Gr22c	0	0	0	0	0	0	
Gr22b	0	0	0	0	0	0	
Gr22a	0	0	0	0	0	0	
CG31933	0	0	0	1	0	0	
CG31664	12	5	3	5	8	2	
c-cup	7	0	3	0	0	0	
mir-2280	0	0	0	0	0	0	
wry	2812	2344	1742	2077	2729	2485	
lncRNA:CR44073	0	1	0	1	0	0	
lncRNA:CR44074	0	0	0	0	0	0	
CG31663	1489	1056	989	914	1143	1096	
CG7295	3	4	2	0	1	1	
lncRNA:CR44075	0	3	0	1	0	1	
CG15358	2	3	3	0	3	0	
Wdr62	6571	6311	3989	4237	6474	5466	
tRNA:Gly-GCC-1-1	1	1	4	4	3	3	
CG15357	0	2	0	0	2	1	
CG33673	0	2	2	0	1	0	
erm	1461	1532	962	1078	1583	1442	
tRNA:Arg-TCT-2-1	0	0	0	0	0	0	
Der-1	3130	3364	1820	2266	3351	2966	
CG15356	3689	3488	2136	2393	3708	3232	
CG15362	313	323	187	169	277	236	
CG7289	2535	2734	1561	1517	2436	2222	
Got2	6819	6671	4047	3889	5630	5325	
Npc2a	3374	3448	1816	2224	2978	2636	
lncRNA:CR42874	17	40	16	3	6	10	
Obp22a	0	3	1	0	1	0	
CG33543	490	429	290	318	441	335	
asRNA:CR43464	28	27	19	45	54	28	
CG15353	25	28	14	10	11	17	
asRNA:CR45712	0	0	0	1	1	1	
Nplp4	468	340	175	706	437	232	
tRNA:Gln-CTG-2-2	0	0	0	0	0	0	
tRNA:Gln-CTG-2-3	0	0	0	0	0	0	
CG4238	1092	1058	673	675	1016	951	
tRNA:Gln-CTG-2-4	0	0	0	0	0	1	
tRNA:Gln-CTG-3-1	0	0	0	0	1	1	
tRNA:Gln-CTG-2-5	4	1	1	2	1	3	
tRNA:Gly-GCC-1-2	0	0	0	0	0	0	
CG42296	2	0	0	1	1	1	
lectin-22C	1	2	1	0	0	1	
Su(dx)	4443	4657	2890	2733	4753	3969	
lncRNA:CR45298	0	3	3	0	1	1	
Kebab	702	678	479	391	628	585	
Or22c	13	7	12	6	2	6	
dpr3	573	406	319	362	489	344	
CG12674	1	5	2	2	1	1	
lncRNA:CR44808	0	2	0	0	1	0	
lncRNA:CR44055	2	1	0	0	1	1	
CG4259	675	714	655	399	803	416	
GlyP	8998	7866	6241	8061	9734	8145	
tho2	9309	9331	5854	6097	9801	8646	
CG11723	1152	1165	695	703	1088	994	
TBCD	4472	4337	2663	2498	4033	3665	
AIF	3478	3310	1924	2189	3301	3072	
CG15382	114	113	99	42	46	75	
aop	8905	9349	5271	6803	11592	9874	
lncRNA:CR43751	22	31	19	23	57	32	
lncRNA:CR44066	0	2	1	4	2	2	
tRNA:Arg-TCT-3-1	0	0	0	0	0	0	
lncRNA:CR45290	54	53	25	32	37	30	
CG10874	507	526	345	311	485	391	
asRNA:CR44065	7	8	4	7	9	10	
CG34172	5	6	2	3	2	4	
CG31668	15	15	6	9	14	7	
CG33124	6	15	7	5	3	2	
CG15385	530	543	340	431	503	572	
Uch	7705	7445	4793	5700	8220	7166	
CG34174	429	456	340	332	474	397	
CG10880	1229	1236	826	733	1103	1095	
CG42371	0	0	0	0	0	0	
CG15386	0	0	0	0	0	0	
mio	1828	1825	1066	1096	1734	1604	
papi	3406	3305	2009	2207	3508	3346	
CG15387	1417	1449	927	867	1347	1242	
sau	4921	5546	3356	2834	5084	4280	
asRNA:CR44114	5	3	3	4	3	2	
Sec24CD	9105	10304	5429	6137	9853	8455	
asRNA:CR44115	0	0	0	0	0	0	
Tengl3	0	0	0	0	0	0	
Tengl2	0	0	0	0	0	0	
Tengl1	2	0	0	0	0	1	
CG4267	371	479	228	254	406	457	
lncRNA:CR42859	1	2	0	0	0	0	
Ser12	0	0	0	0	0	0	
CG17239	0	2	0	0	0	0	
CG17234	0	1	0	0	0	0	
Send1	0	0	0	0	0	0	
lncRNA:CR44787	0	0	0	0	0	0	
lncRNA:CR44788	0	0	0	0	0	0	
CG4270	0	0	0	0	0	0	
CG34049	0	0	0	0	0	0	
CG17242	1	0	0	1	0	1	
lncRNA:CR43753	3	1	1	2	0	1	
lncRNA:CR43754	0	0	0	7	7	11	
CG4271	0	1	0	7	6	4	
CG31681	0	0	0	2	6	2	
CG42658	0	0	1	4	3	2	
CG17237	0	0	0	3	2	3	
robl22E	0	0	0	2	0	3	
CG31949	0	0	0	1	2	2	
CG16995	2	2	0	7	4	1	
CG9967	646	607	357	347	558	434	
eys	1652	1420	1027	1050	1564	1294	
Rab5	10114	10873	6488	6174	10160	9003	
Axud1	3769	3878	2390	2426	3849	3370	
CG3597	26	28	8	15	15	32	
CG3609	3148	3061	1775	1983	2809	2361	
CG15390	29	22	16	20	29	17	
asRNA:CR44982	0	0	0	0	0	0	
Atxn7	3137	3190	1778	1809	2784	2516	
Eogt	2070	1999	1287	1254	1910	1761	
PIG-Wa	343	375	243	191	309	283	
CG3557	8	10	5	2	3	3	
CG43750	5	2	0	2	3	3	
VGlut	4871	4136	2986	2685	3763	3318	
CG18641	39	33	28	19	33	21	
CG31948	1	6	1	1	2	0	
CG34448	0	0	0	0	0	0	
CG34447	0	0	2	0	0	0	
CG9886	720	639	340	352	548	476	
CG44139	4	0	1	0	2	0	
lncRNA:CR44912	14	9	11	12	6	7	
dpp	2827	2669	1631	1533	2585	2236	
tRNA:Tyr-GTA-1-2	0	0	0	0	0	0	
tRNA:Tyr-GTA-1-3	0	0	0	0	0	1	
lncRNA:CR45286	0	1	0	0	0	0	
Slh	3225	3279	1713	2119	3066	2824	
oaf	2407	2376	1346	1386	2457	2224	
lncRNA:CR44607	0	0	0	0	0	0	
CG3528	0	0	0	0	0	0	
asRNA:CR46069	0	0	0	0	0	0	
lncRNA:CR44112	0	0	0	0	1	0	
CG3515	0	1	0	0	0	0	
lncRNA:CR44113	0	0	0	1	0	0	
Cyp309a1	14	15	1	3	5	10	
Cyp309a2	5	6	2	2	3	1	
Sws1	0	0	0	0	0	0	
Rad1	0	0	0	0	0	0	
insv	846	867	537	807	1167	1066	
Elba2	216	179	128	168	258	226	
ND-B17.2	2045	2037	1208	1408	2098	1834	
Arpc5	3050	3228	1621	1910	3019	2639	
Drp1	7367	7403	4327	4847	7326	6598	
CG15394	6	3	1	11	17	9	
lncRNA:CR44790	0	0	0	0	0	0	
lncRNA:CR44789	0	0	0	0	0	0	
CG15395	0	0	0	1	0	0	
CG43403	0	0	0	0	0	0	
lncRNA:TS11	2	0	0	0	0	0	
lncRNA:CR46328	4	1	0	0	0	1	
lncRNA:TS4	3	2	0	0	0	0	
lncRNA:CR43852	1	0	0	0	0	0	
CG9962	0	0	1	0	0	0	
CG43851	0	0	0	0	0	0	
CG33125	3	2	5	1	1	1	
Prosbeta4R1	3	1	0	0	0	0	
Or23a	1	1	0	0	0	0	
Prosbeta4R2	1	0	0	0	0	0	
CG9879	0	0	0	0	0	0	
Gr23a	2	0	0	0	0	0	
CG31690	1413	1473	906	938	1428	1146	
CG15398	0	1	0	2	3	0	
CG31689	222	191	100	181	300	219	
mir-4914	0	0	0	0	0	0	
Hrs	3410	3587	1777	2119	3417	3086	
CG9961	7	5	5	46	76	53	
Cwc25	1066	1090	699	791	1295	1075	
Pgk	13164	12907	7702	7645	11574	10030	
Bacc	51309	50557	36126	33774	51646	46198	
lncRNA:CR44772	5	7	12	5	9	8	
Snapin	0	0	0	0	0	0	
HemK2	0	0	0	0	0	0	
Tnpo-SR	1925	1917	1093	1388	1938	1674	
CG3077	1020	1060	620	713	1167	1040	
aph-1	2150	2120	1153	1380	2131	1948	
Taf10b	1580	1583	990	1166	1696	1456	
Taf10	1540	1483	848	989	1527	1357	
colt	3329	3493	1743	1833	3084	2653	
CG2862	5984	5516	3250	3484	5196	4655	
CG15399	7	2	3	10	5	5	
Syt1	5707	5054	3664	3944	5431	4970	
lncRNA:CR43821	1	1	0	1	3	2	
daw	1110	1358	573	1252	1404	1948	
CG2964	0	2	0	1	1	2	
G6P	289	252	174	227	284	263	
Duox	6745	7073	4053	3259	6178	5584	
CG3123	6	10	4	2	7	8	
CG3119	13	11	5	7	9	7	
Cpr23B	1	2	1	0	0	1	
asRNA:CR45342	0	0	0	0	0	0	
CG2975	111	160	70	70	148	109	
CG18558	11	10	4	5	7	10	
CG18557	28	77	10	21	203	27	
CG3117	53	105	17	26	8	37	
CG2983	4	2	2	4	6	2	
CG3104	487	423	307	267	384	307	
RpS21	34109	32478	19381	21844	32174	29608	
CG2991	4709	4635	3147	3165	5058	4320	
CG31694	4620	4737	2751	3525	5638	5051	
CG8813	23	21	5	17	26	25	
CG8814	1682	1655	911	1005	1521	1508	
Prx6005	1363	1269	762	946	1331	1103	
Sbat	448	464	298	282	371	355	
betaggt-II	1401	1275	779	1071	1352	1130	
NTPase	2486	3003	1576	1777	2597	2046	
lilli	6130	6379	3702	4261	6870	5907	
Rbp9	489	536	333	394	560	473	
Ts	2468	2261	1612	1667	2485	2029	
Rrp1	10626	10401	6421	7485	11441	10583	
gammaTub23C	4005	4002	2310	2717	4274	3831	
CG9641	1956	1971	1218	1400	2144	2168	
CG3165	1589	1550	1007	1711	2683	2454	
CG9643	1094	1051	652	544	822	797	
Chd1	9866	9912	6215	6207	9686	8733	
Bem46	667	669	381	416	731	621	
okr	801	764	503	508	771	673	
CG3558	4613	4887	2637	2465	3917	3558	
CG17265	2303	2253	1304	1692	2668	2628	
CG17224	125	259	85	46	99	109	
CG17264	68	96	33	58	91	90	
alpha4GT1	1607	1630	843	1015	1428	1255	
CG3542	4564	4525	2742	2893	4525	3970	
Sf3b2	5603	5595	3504	3557	5412	4776	
CG17219	452	453	384	225	372	354	
asRNA:CR44147	0	0	0	0	0	0	
GABPI	1633	1557	957	1002	1478	1279	
CG17258	52	45	32	37	52	52	
SerRS	10020	10378	5167	6118	9125	8149	
CG17260	239	243	106	142	199	178	
cnir	512	439	260	305	438	348	
CG17221	642	625	360	416	552	483	
CG17261	13	12	9	10	22	15	
FASN2	61	69	95	12	13	27	
snRNA:LU	0	0	0	0	0	0	
snRNA:U5:23D	0	1	1	0	3	0	
FASN1	11932	10842	8648	8949	12098	9187	
toc	5334	4989	3498	3416	5083	4539	
PpD6	0	0	0	1	0	0	
CG15403	0	0	0	0	1	0	
ND-B14.5B	2141	1834	1135	1503	1870	1664	
Mad	4170	4564	2377	2397	4024	3809	
gkt	1204	1089	623	595	881	745	
CR31953	20	15	12	22	26	15	
Hydr2	3213	3238	1846	2089	3404	2914	
tRNA:Ser-AGA-2-3	4	6	6	5	5	1	
CG44002	439	443	272	310	409	368	
CR44003	292	277	204	353	529	493	
tRNA:Ser-AGA-2-4	1	1	0	0	0	0	
CG31698	239	1077	774	50	24	5	
CG15404	186	780	562	32	23	0	
CG34393	229	212	143	158	200	160	
lncRNA:CR45336	0	0	0	0	0	0	
lncRNA:CR45337	0	0	0	0	0	1	
lncRNA:CR45338	0	0	0	1	0	0	
lncRNA:CR45706	6	10	1	5	4	5	
lncRNA:CR44484	0	0	0	0	0	0	
CG3347	0	0	1	0	0	0	
OtopLb	13	44	11	12	1	28	
lncRNA:CR44485	0	0	0	0	1	0	
CG9664	261	454	143	118	136	290	
CG9663	1391	1316	793	691	1102	956	
CG3277	104	115	67	74	95	95	
CG15406	34	177	19	35	12	44	
Fign	278	295	182	157	273	236	
CG8837	284	242	146	179	259	200	
CG33281	1	0	0	30	0	2	
CG33282	0	1	1	3	1	9	
CG3285	0	1	0	6	4	3	
CG15408	1	4	0	1	0	2	
E23	1140	1618	530	678	1135	1042	
CG8838	3	6	0	3	6	6	
GramD1B	4606	4818	2990	2821	4763	4198	
CG15412	54	39	43	19	13	18	
CG9662	2525	2673	1401	1330	2199	1940	
Ptpa	1438	1389	942	858	1246	1063	
lncRNA:CR45301	2	0	1	1	4	1	
Sfp23F	0	1	0	7	14	0	
CG42460	342	1176	485	1307	2634	134	
lncRNA:CR44791	0	0	0	0	0	0	
asRNA:TS15	0	1	0	0	0	0	
CG34175	1	0	0	0	0	0	
Pgant2	1988	2094	1159	1146	1842	1689	
CG8840	2	2	0	0	2	1	
CG31952	1	2	0	1	5	2	
CG2772	3	2	3	2	4	3	
Snx1	4410	4565	2825	2397	4054	3463	
CG12795	910	919	451	537	739	727	
Cog3	1364	1571	851	958	1413	1266	
Sec5	2405	2343	1291	1428	2118	1846	
CG3246	449	438	231	343	350	404	
msl-2	3605	3008	2069	2518	3531	2908	
mir-4971	0	0	0	0	0	0	
ND-PDSW	3349	3083	1684	1827	2351	2320	
Pif1	1461	1451	818	709	1138	983	
CG31776	14	16	18	5	9	10	
Pgant4	144	276	60	73	188	144	
lncRNA:CR45372	4	3	0	2	1	2	
lncRNA:CR43928	9	17	3	2	2	6	
Thor	3816	6931	2252	3059	3105	4436	
CG15414	231	279	77	104	229	172	
tim	122	128	77	89	49	59	
lncRNA:CR45299	0	0	0	0	1	1	
CG31954	6	27	4	3	5	1	
asRNA:CR45300	0	0	0	0	0	0	
LeuRS	5972	6123	3899	4513	6894	6104	
CG17593	3713	3769	2042	2304	3420	2891	
CG3213	0	5	0	1	6	2	
CG8851	3	3	0	3	4	2	
Sr-CIV	32	23	24	79	124	77	
CG8852	39	26	28	48	71	56	
Spindly	1773	1864	1067	2047	3079	2597	
IFT57	5	6	3	5	6	8	
lncRNA:CR44308	0	1	0	0	0	0	
drm	4883	5488	2743	2896	4770	4373	
lncRNA:CR44309	1	2	1	0	0	0	
lncRNA:CR44747	0	1	0	0	0	0	
lncRNA:CR43822	1	2	0	0	0	0	
CG43815	1	0	0	0	1	0	
sob	2340	2547	1268	1349	2238	2132	
lncRNA:TS2	0	0	2	0	0	0	
lncRNA:CR43823	1	1	2	1	1	2	
odd	1099	1142	616	665	1054	1023	
lncRNA:CR44310	0	1	1	0	0	0	
Dot	410	409	279	307	429	328	
CG15418	2	3	2	9	10	10	
for	4411	4914	2657	2869	4855	4445	
mir-4972	0	1	1	0	0	0	
Drgx	926	1028	610	593	993	859	
Sfp24Ba	0	2	0	1	1	0	
Sfp24Bd	0	1	0	0	0	2	
Sfp24Bb	1	0	0	0	1	0	
Sfp24Bc	0	0	0	1	2	0	
CG16704	426	844	221	161	247	437	
CG3513	9	16	3	0	5	4	
Acp24A4	4	0	0	0	2	2	
CR43364	3	4	3	1	0	5	
CG43165	6	13	7	4	2	8	
CG16713	215	366	97	8	26	23	
IM33	139	115	26	72	18	25	
CG3604	218	17	26	11	15	7	
CG10031	18	24	5	27	10	33	
CG42464	0	1	0	0	0	1	
CG42465	0	1	0	0	1	0	
Sfp24C1	0	0	0	0	0	0	
CG42467	1	0	0	0	1	1	
CG43145	4	2	0	0	0	1	
lncRNA:CR44311	2	1	0	1	1	2	
CG2816	41	28	23	24	59	50	
CG31778	197	607	118	226	124	521	
CG31777	399	456	170	182	298	189	
cutlet	1269	1148	769	780	1253	1142	
CG31955	183	197	126	93	220	127	
CG2818	2555	2603	1720	1510	2290	2088	
lectin-24A	23	27	18	17	187	19	
Shaw	1118	985	781	803	1211	913	
CG10019	629	550	332	411	586	448	
CG43707	1963	1466	1068	1180	1554	1299	
CG43703	0	0	0	0	1	2	
mir-1004	0	0	0	0	0	0	
lncRNA:CR43704	8	15	6	5	7	5	
bowl	20145	21928	11056	10198	18201	18087	
CG31960	1	0	0	1	1	1	
CR31958	0	0	0	1	0	0	
bark	12038	11908	8009	7680	13457	11587	
Reph	5454	5334	4133	3668	5584	4792	
CG3407	793	800	449	526	779	722	
lncRNA:CR44076	0	0	0	0	0	0	
lncRNA:CR44077	0	0	0	0	3	1	
slp1	775	807	542	632	843	822	
slp2	1018	1108	704	809	1134	1103	
lncRNA:CR44983	1	2	2	3	10	13	
lncRNA:CR45451	1	0	3	1	0	2	
lncRNA:CR45449	2	2	0	25	50	50	
lncRNA:CR45450	3	2	3	38	52	62	
lncRNA:CR44078	10	7	9	31	50	38	
TTLL4B	2169	2105	1228	1622	2547	2324	
Cep97	2100	1989	1337	1358	2004	1886	
CG31957	434	448	255	297	428	394	
capu	4299	4148	2943	2772	4446	4250	
fred	566	482	314	343	470	419	
CG31773	9	5	4	3	6	5	
CG43797	1	0	3	1	2	1	
lncRNA:CR45344	0	0	0	0	0	0	
CG34176	17	13	21	10	3	56	
CG15422	14	29	10	5	0	33	
CG15423	8	12	4	0	2	21	
CG43773	0	1	0	1	1	0	
CG43774	9	6	0	1	2	13	
ed	30372	33312	18447	18298	32031	28750	
asRNA:CR44984	0	2	1	0	2	0	
snoRNA:Me28S-C437	2	2	0	0	2	0	
Sr-CIII	54	12	43	74	135	66	
Sr-CI	323	201	308	330	872	476	
CG2955	0	0	0	27	61	51	
Or24a	0	0	0	1	2	2	
lncRNA:CR45791	0	0	0	0	1	0	
lncRNA:CR44057	0	0	0	0	1	0	
TBCC	864	927	587	630	919	791	
lectin-24Db	867	1222	551	491	636	546	
CG3714	1813	1945	1111	1311	1846	1589	
ft	29275	29131	17619	16294	28490	24738	
CG3702	5772	5766	3004	3998	5899	5065	
RpL40	57091	55045	32406	39690	60465	54089	
lncRNA:CR44608	29	29	23	22	30	37	
lncRNA:CR45720	0	0	1	1	1	0	
lncRNA:CR44058	0	0	0	0	2	0	
lncRNA:CR44059	0	0	0	0	0	0	
lncRNA:CR45294	0	0	0	0	0	0	
lncRNA:CR45295	0	0	0	0	0	0	
lncRNA:CR45296	0	0	0	0	0	0	
CG15425	0	0	0	0	0	0	
lncRNA:CR44080	0	0	0	0	0	0	
Art2	10	13	6	8	20	12	
tutl	14941	14979	9210	9691	16057	13518	
bdl	907	662	496	555	690	657	
Atet	2461	2859	1505	1623	2540	2382	
mir-1005	0	0	0	0	0	0	
lncRNA:CR44697	0	0	0	0	1	1	
lncRNA:CR44698	1	0	0	0	0	0	
lncRNA:CR44699	1	0	0	0	0	1	
lncRNA:CR44700	0	0	2	0	2	0	
CG15429	3	3	4	0	6	3	
lncRNA:CR45363	2	5	5	4	5	7	
Traf4	2522	2857	1682	1957	3125	2840	
CG17612	783	754	556	532	802	683	
Vps53	1747	1732	1093	1137	1751	1616	
Psf2	495	432	299	335	551	476	
Tps1	265	364	77	256	90	326	
CG3652	1260	1299	720	845	1261	1037	
l(2)k05819	6046	5738	3829	3521	5652	5233	
CG33003	2	2	5	3	2	1	
Dim1	1017	1083	607	649	1004	950	
CG15431	597	429	394	355	434	391	
CG43055	0	2	0	0	1	0	
tRNA:Trp-CCA-2-1	0	0	0	0	0	0	
CG34178	0	0	0	0	0	0	
CG34177	0	0	0	0	0	0	
CG43056	1	1	0	0	0	0	
Sfp24F	2	0	0	0	0	0	
CG15432	1275	1189	727	769	1255	1120	
morgue	1885	1832	1007	1140	1667	1543	
Elp3	2187	2084	1216	1375	1990	1956	
MFS18	1470	1505	970	1126	1645	1169	
CG15439	2585	2751	1586	1535	2348	2153	
CG15440	2393	2302	1296	1541	2134	2109	
ND-B8	2	5	1	4	1	1	
Gs1l	988	890	540	744	955	829	
RpL27A	83293	77601	46805	59382	81508	73504	
snoRNA:Me18S-C1831	53	50	20	45	57	58	
mRpL27	1392	1209	780	860	1217	1053	
CG15435	932	933	574	561	839	804	
CG15443	1688	1648	989	943	1369	1284	
CG15436	345	336	274	220	433	347	
FIG4	1179	1172	666	708	1127	1025	
ine	423	394	268	396	533	362	
dpy	26544	27029	18250	14232	24790	19123	
HP6	0	1	0	1	1	0	
lncRNA:CR43716	14	13	7	4	10	10	
lncRNA:CR44609	1	1	1	0	1	1	
lncRNA:CR45452	0	0	0	0	0	0	
BG642163	0	0	0	0	0	0	
CG15635	0	0	1	0	0	0	
CG43798	0	0	0	0	0	0	
CG3355	55	172	27	57	147	91	
lncRNA:TS6	0	0	0	0	0	0	
CG11929	0	3	0	0	1	0	
Bsg25A	0	0	0	0	0	1	
Elba3	0	0	0	0	0	0	
CG3251	0	0	0	0	0	1	
CG34351	583	502	280	247	393	341	
Taf12L	61	56	39	49	81	72	
CG15631	1	1	1	2	2	6	
fipi	1587	1489	824	824	1212	1028	
CG42523	0	1	0	2	1	0	
CG3294	543	508	327	364	574	501	
Clect27	1727	1543	741	988	1043	630	
lncRNA:CR45297	0	0	0	0	0	0	
CG15629	42	29	42	69	53	53	
CG3225	427	443	262	262	405	353	
mir-4910	0	0	0	0	1	0	
CG15628	5858	6294	3948	3310	5205	4336	
Fnta	2727	2715	1538	1519	2297	2168	
mir-4912	0	0	0	0	0	0	
Ir25a	13	13	13	17	14	13	
tank	2346	2103	1311	1274	2002	1748	
CG12194	527	527	382	355	483	435	
mxt	4550	4458	2724	2812	4415	3927	
CG11927	1640	1682	961	1043	1497	1388	
mRpS2	1116	1049	661	665	968	787	
Mon1	1442	1420	931	909	1365	1118	
smog	3077	2651	1976	2345	2997	2593	
Cf2	2128	2294	1369	1323	2198	1876	
CG3008	2918	2642	1506	1731	2686	2378	
CG15625	3	2	0	0	0	5	
CR45716	8	3	2	4	6	1	
CG3036	3113	3133	1355	1827	3215	2414	
snsl	43	41	20	20	50	26	
hoe1	965	522	611	894	1026	716	
hoe2	400	318	314	287	365	258	
Sgs1	2306	7046	4679	587	173	18	
CG14044	22	23	17	25	15	18	
mRpL24	1430	1394	865	784	1159	1112	
betaggt-I	1679	1634	998	1021	1617	1410	
jet	428	382	277	281	348	332	
