Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/SppsKO_1.bam	Fly/RNA_seq/SppsKO_2.bam	Fly/RNA_seq/SppsKO_3.bam	Fly/RNA_seq/SppsKO_4.bam	
Rab6	5772	6328	3276	6372	5388	6626	5777	
Phae1	24	32	9	5	1	8	28	
Phae2	9	6	4	3	2	4	3	
CG17211	8663	9140	4939	9496	7991	9578	7294	
rho-6	1	0	1	0	1	0	7	
Gr33a	1	1	0	0	0	0	0	
CG31760	1150	878	723	869	820	843	752	
CG31861	0	2	1	1	1	0	2	
ZnT33D	10	7	13	12	13	9	7	
CG17217	6	7	2	6	4	3	6	
CG6583	2448	2482	1356	2397	2089	2400	2186	
crok	2732	2570	1323	2746	2418	2830	2568	
lncRNA:CR43356	0	0	0	1	2	0	0	
bru1	1085	1039	687	1113	896	943	828	
atilla	219	228	126	145	128	181	263	
CG31759	751	748	540	775	622	809	728	
lncRNA:CR45282	0	0	1	0	0	0	0	
lncRNA:CR45283	0	0	0	0	0	0	0	
CG31862	0	0	0	0	0	0	0	
CG43813	4	3	2	5	9	13	4	
bru2	428	516	293	481	379	481	291	
CG17010	3	0	0	1	0	0	2	
Pkd2	2	2	3	4	5	2	1	
vir-1	3316	3659	2120	2702	2441	2977	2701	
CG6405	40	51	45	59	35	62	65	
CG5446	3904	3991	2087	3892	3341	3823	3500	
CG6388	1885	1939	1099	2019	1692	1989	1761	
CG5435	40	50	46	34	23	24	17	
SC35	11498	10318	5956	11223	10204	11822	10557	
snoRNA:SC35-a	4	1	2	10	8	8	0	
snoRNA:SC35-b	6	9	2	10	7	6	2	
eRF3	14730	16278	9106	17354	14370	17486	14678	
Oatp33Ea	71	62	49	37	41	55	18	
CG5421	1	0	1	2	0	4	1	
Oatp33Eb	6	15	16	6	8	2	10	
CG5418	1	0	0	1	0	4	4	
CR17024	0	1	1	1	1	1	1	
bun	17876	18035	11774	19656	16777	19993	16628	
mir-967	29	16	17	18	9	29	16	
t-cup	0	0	0	0	0	0	1	
lncRNA:CR43051	272	290	246	265	238	254	335	
snoRNA:CG43051-a	0	0	0	0	0	0	0	
lncRNA:CR42746	1	3	1	4	1	0	2	
lncRNA:CR44598	34	27	21	41	22	24	30	
lncRNA:CR44597	43	31	17	19	28	31	21	
lncRNA:CR44596	19	6	8	16	12	13	7	
lncRNA:CR44595	13	12	5	10	7	8	2	
nub	4699	4815	2503	4926	4026	5025	4137	
Ref2	1	4	0	3	0	1	4	
pdm2	803	874	434	1683	1355	1534	1204	
CG15485	63	22	22	17	16	61	24	
CCT4	20411	20028	10506	23375	20006	22508	20173	
CG6153	751	741	488	811	767	809	752	
CG5780	478	526	284	536	441	530	509	
PICK1	688	626	458	694	643	679	641	
CG5781	21	17	8	33	23	23	25	
CG17036	319	337	162	393	360	423	407	
CG5776	951	914	527	988	921	1047	981	
spict	1446	1498	823	1865	1551	1847	1518	
CG15484	27	19	25	29	21	19	24	
CG6180	7662	7887	4635	8981	7899	9101	8258	
CG5787	10609	10261	6117	11319	9823	11687	9303	
Pih1D1	5140	4880	3454	6216	5454	6101	4878	
MRP	7945	7764	4744	8312	6984	7783	5932	
mir-9382	20	20	13	22	11	20	12	
CG15483	0	1	0	0	0	0	0	
lncRNA:CR46206	0	0	0	0	0	0	0	
lncRNA:TS9	1	0	0	0	0	0	0	
lncRNA:CR43818	0	0	0	2	1	1	3	
kek1	10407	10083	6477	10600	8873	10174	7712	
lncRNA:CR44970	10	10	8	5	7	13	15	
lncRNA:CR44971	7	2	3	11	6	2	4	
ACXC	2	3	0	3	6	2	2	
ACXB	1	3	0	0	1	0	1	
ACXA	0	0	0	2	0	0	0	
ACXE	0	0	0	0	0	0	1	
lncRNA:CR44183	0	0	0	1	0	1	0	
CG16800	2	3	2	27	24	8	4	
Vha68-2	11797	13237	7902	12205	10100	12415	10326	
Vha68-3	2	4	0	3	5	4	3	
CG12404	2858	2932	1605	3051	2602	3126	2601	
Vha68-1	3087	2595	1884	2973	2665	2791	2386	
Tor	8357	8575	5310	9875	8326	8941	6708	
CG9934	8418	8447	4521	10162	8348	9705	7240	
A16	2306	2307	1296	2570	2161	2518	2326	
CG9932	6073	6110	4054	5592	4637	5668	4246	
lncRNA:CR44197	4	0	1	2	2	2	0	
lncRNA:CR45447	0	0	1	0	0	0	0	
lncRNA:CR45461	0	0	0	0	0	0	0	
CG5142	34	40	14	22	12	27	16	
lncRNA:CR44198	0	0	0	1	0	0	2	
CG43050	1	3	2	1	3	1	1	
CG5122	0	0	0	2	3	1	0	
CG9928	2	12	1	1	4	2	2	
CG16978	1	2	1	0	0	0	1	
lncRNA:CR44199	0	0	0	0	0	0	0	
Pk34A	0	0	0	1	3	0	1	
kmg	20	27	21	37	37	36	30	
DnaJ-H	2072	2135	1188	2425	2050	2392	2041	
Sirt1	5008	5113	3129	5501	4938	5397	4187	
Sfmbt	6850	6658	4280	6890	6051	7357	6295	
asRNA:CR46256	8	9	9	9	10	8	4	
CG43925	2	4	5	3	3	3	2	
CG5439	1470	1413	868	1565	1330	1395	1234	
CG5287	642	678	456	705	588	648	553	
CG31849	457	484	230	487	408	448	401	
CG5458	3	3	2	8	5	11	4	
CG16974	12301	12606	7255	15090	12850	15088	12434	
Edem2	3583	3990	2032	4073	3464	4221	3389	
CG16972	2726	2792	1755	3134	2565	3050	2360	
Pect	3739	3806	2466	3415	2966	3659	3284	
CG15482	2	6	4	13	8	10	10	
snRNA:U2:34ABa	0	0	0	8	5	8	11	
kek4	180	147	123	181	139	181	169	
snRNA:U2:34ABb	4	0	1	3	3	4	2	
CG9426	3149	3063	1848	3246	2792	3400	2787	
mRF1	335	322	242	323	301	281	308	
Ski6	1059	993	513	1084	937	1132	1020	
CG16812	2487	2412	1441	2640	2257	2852	2302	
CG15480	0	1	2	2	3	3	0	
CG16813	0	0	2	1	0	0	0	
CG16815	0	0	0	0	0	0	0	
Prosalpha6T	0	0	0	0	0	0	0	
Mabi	0	0	0	0	0	1	0	
CG5867	87	34	45	45	63	70	59	
CG5945	1	0	0	0	0	1	0	
asRNA:CR45330	0	0	0	0	0	1	0	
snRNA:U2:34ABc	0	0	0	0	0	0	0	
snRNA:U5:34A	0	0	0	1	1	2	1	
CG16820	405	391	209	424	345	445	355	
l(2)k05911	1787	2001	950	2513	2028	2894	1837	
Naa20B	0	0	0	0	0	0	0	
CG31730	0	1	1	1	0	0	0	
CG44085	908	856	571	1087	927	958	580	
CG31848	0	0	0	0	0	0	0	
Drep4	239	271	151	326	274	321	274	
asRNA:CR44083	0	0	0	1	0	2	1	
Uvrag	1092	1187	636	1210	1085	1197	1153	
asRNA:CR44972	0	0	0	0	0	0	0	
CG31729	7038	7099	4430	7672	6460	7684	6499	
CG16824	28	21	18	19	20	13	16	
CG43778	1838	1609	1152	2029	1563	1643	1476	
CG16825	26	21	16	28	25	27	15	
CG43779	0	0	0	0	0	0	0	
CG16826	0	1	0	0	0	1	0	
CG9395	1737	1454	1041	1725	1584	1769	1413	
CG9377	40	7	7	2	0	1	2	
Nnp-1	5362	5466	2985	5750	4881	5810	4767	
CG6523	4014	3886	2362	4019	3535	4238	3810	
Tap42	2996	2743	1760	3229	2757	3244	3034	
CG31855	1674	1704	1043	1812	1592	1762	1653	
ND-B22	2266	2123	1409	2275	2004	2335	2024	
Bdp1	2249	2159	1418	2469	2131	2483	2223	
CG6565	1257	1217	758	1422	1216	1348	1181	
CG9302	6767	7344	4241	8507	7183	8609	7326	
beta'COP	12353	12774	6887	13513	11356	13386	10970	
loqs	3387	3209	2194	3357	2985	3444	3116	
asRNA:CR44599	4	1	0	3	3	2	2	
Ing5	1035	1167	763	1244	1102	1234	1121	
CG7099	1922	1935	1227	2083	1782	2025	1552	
RpL24	67843	67151	36100	65348	57520	69317	62978	
CG16957	51	70	48	139	117	116	102	
CG10859	13	12	13	49	34	41	48	
asRNA:CR44600	0	0	0	3	6	2	3	
CG7110	2493	2536	1514	2829	2373	2953	2592	
Vm34Ca	5	3	6	5	3	11	2	
CG16848	3	0	7	2	4	0	3	
CG16956	1	0	0	0	0	1	0	
CG43850	37	37	26	48	30	28	35	
CG42784	356	301	226	306	230	257	192	
Tehao	1	4	1	3	2	3	6	
asRNA:CR45683	4	13	7	37	24	27	31	
Hacd2	2042	1812	1274	1939	1756	2032	1902	
Hsp60D	10	13	8	7	7	3	7	
CG42809	7	3	2	3	2	0	0	
lncRNA:CR45684	2	3	2	1	1	1	0	
CG42810	1	0	3	1	2	0	0	
CG46308	0	0	0	0	0	0	0	
B4	7459	7522	5096	8910	7214	8340	6872	
CG33640	7	6	5	9	5	7	2	
CG33641	5	5	2	8	5	2	3	
CG33642	2	1	1	2	0	1	0	
CG33643	1	3	2	2	1	5	1	
CG33644	1	2	2	2	1	3	0	
CG33645	2	3	2	3	3	1	1	
CG15638	0	0	0	3	1	1	1	
CG16852	2	4	0	1	0	0	0	
CG9263	1	1	0	3	2	0	0	
CG16853	0	2	1	1	1	4	2	
kuz	10657	12213	6237	12609	9910	12302	8693	
lncRNA:CR44973	0	0	0	1	0	1	0	
CG9254	1	6	0	7	6	3	6	
mir-2489	0	0	0	0	0	0	0	
lncRNA:CR43410	1	4	1	5	4	4	0	
ics	2149	2289	1345	2501	2112	2487	2152	
lncRNA:CR44726	1	0	0	1	0	1	0	
CG18507	1667	1803	1180	1843	1625	2102	1389	
CG31814	406	346	229	358	317	332	247	
Gpo3	1	5	0	1	4	0	3	
CG9014	0	1	0	2	1	0	1	
CG31813	0	0	2	0	0	0	0	
lncRNA:CR45913	0	0	0	0	0	0	0	
TM9SF4	4611	4533	2763	4916	4280	4957	3979	
lncRNA:CR44846	0	0	0	0	0	0	0	
mir-1002	0	0	0	0	0	0	0	
mir-968	0	0	0	0	0	0	0	
CG43376	2	0	2	1	0	0	0	
CG9008	1524	1244	854	1314	1232	1316	1094	
asRNA:CR31845	14	10	2	10	8	9	10	
p38b	2293	2004	1241	2276	2004	2239	2124	
CG16890	577	592	346	609	592	643	652	
Eato	9844	10173	6060	10585	9156	11096	8915	
asRNA:CR44847	0	1	0	0	0	0	0	
CG16863	357	358	209	399	334	380	346	
Sec71	3812	3957	2434	4107	3337	4026	3077	
CAH1	362	376	262	423	342	479	341	
Adat1	401	370	279	348	330	376	373	
CG16865	874	886	484	865	784	979	870	
CG16888	0	0	0	0	0	0	0	
Sos	5802	5919	3422	6881	5931	7064	5650	
b	251	230	49	1080	889	1816	151	
tam	1298	1225	731	1197	1025	1152	995	
Arpc1	7991	8020	4086	8019	6929	7879	6726	
Orc5	1047	916	629	1110	913	1070	1077	
GatC	0	0	0	0	0	0	0	
DNApol-gamma35	0	0	0	0	0	0	0	
RpII33	2577	2475	1395	2751	2471	2756	2669	
mRpS23	800	699	456	819	695	835	765	
CenG1A	5001	5459	2948	6968	5685	6882	4596	
CG33307	147	146	52	41	45	74	59	
CG33306	119	95	36	47	36	68	32	
CG8997	741	398	60	63	71	102	38	
CG7916	210	124	50	44	52	76	37	
CG7953	616	428	12	23	53	30	12	
CG7968	38	12	14	5	6	9	4	
lncRNA:CR44848	2	1	0	1	4	0	2	
Smg5	10168	10392	6853	10595	8819	10560	9011	
Ance	30193	33078	19960	31017	26043	33628	28066	
Ance-2	20	22	14	17	21	32	21	
Acyp	0	0	0	0	0	0	0	
Ance-3	38	10	6	6	6	24	6	
CG16886	72	45	29	20	20	36	27	
CG42711	21	21	12	7	10	5	13	
CG16885	2678	996	1317	758	599	3592	1347	
CG16884	2016	677	1057	434	349	2349	867	
NimA	1274	1405	694	1500	1223	1302	975	
NimB1	463	247	281	123	107	117	209	
NimB2	391	602	146	131	129	215	193	
NimB3	158	361	43	57	66	132	83	
NimB4	523	662	356	183	161	197	225	
NimB5	163	209	132	55	58	74	91	
He	746	747	826	276	304	354	654	
NimC1	100	93	78	153	148	146	170	
Cyp28a5	98	91	102	35	32	41	47	
NimC2	515	1861	172	635	456	816	758	
rk	584	695	284	725	701	765	581	
CG42692	0	1	0	0	0	0	0	
tRNA:Gln-CTG-4-1	0	0	0	0	0	0	0	
bgm	142	198	155	171	120	170	98	
NimC3	0	0	0	0	1	0	0	
asRNA:CR44849	1	0	0	0	1	0	0	
lncRNA:CR45352	0	2	1	2	1	2	3	
lncRNA:CR31840	0	2	0	2	1	4	2	
hll	100	482	52	91	52	111	69	
CG18095	3	48	2	112	65	14	5	
lncRNA:CR45284	5	2	2	2	2	2	2	
nAChRalpha5	2058	1573	1352	2686	2161	2199	1107	
NimC4	1	1	1	28	13	26	4	
CG46301	1673	1580	1071	1749	1449	1766	1468	
CG15293	68	19	5	1	1	1	2	
CG31769	29	16	5	5	3	10	4	
CG43332	0	0	0	0	0	1	0	
CG43333	570	646	394	833	708	668	577	
Dyrk2	7950	9080	4996	9391	7774	9846	7402	
lncRNA:CR44727	3	2	2	2	4	3	4	
lncRNA:CR44728	1	2	2	1	2	2	4	
lncRNA:CR44216	0	0	2	0	1	1	1	
wb	4368	4870	2480	4990	4005	4992	3615	
lncRNA:CR44729	0	0	0	2	3	1	0	
CG32971	5	3	1	4	0	5	8	
lncRNA:CR43639	0	0	2	0	0	0	0	
lncRNA:CR43640	1	2	0	0	0	3	0	
ms(2)34Fe	5	5	9	12	7	7	12	
CG33090	1650	1515	1001	1702	1430	1769	1463	
CG15286	2	2	0	0	2	0	1	
Send2	1	2	0	1	3	3	4	
mTTF	828	787	487	832	719	798	825	
l(2)34Fc	0	2	0	2	0	0	2	
asRNA:CR44850	0	0	0	0	0	0	0	
CG43052	1	3	0	2	3	2	1	
l(2)34Fd	1496	1457	823	1658	1488	1710	1386	
Rab14	2350	2319	1387	2326	1960	2432	2190	
lncRNA:CR44851	7	7	6	8	3	5	6	
Pgant35A	1	1	1	1	6	1	0	
asRNA:CR43463	0	0	0	0	0	0	0	
spel1	2897	2718	1530	2812	2506	3223	2859	
ppk	47	45	21	39	32	46	35	
elB	3183	3392	1908	3621	3043	3722	3128	
lncRNA:CR44733	1	0	1	0	0	0	1	
Pburs	64	32	27	22	29	21	26	
Cpr35B	43	48	25	44	24	24	26	
lncRNA:CR44732	1	4	2	2	0	0	2	
lncRNA:CR45726	1	1	0	1	0	0	0	
CG15283	1	0	1	0	0	0	1	
lncRNA:CR44730	0	0	0	0	0	0	0	
lncRNA:CR44731	2	3	1	1	1	2	1	
noc	10126	10703	6269	11300	9764	11752	9941	
tRNA:Pro-AGG-1-1	0	0	0	0	0	0	0	
lncRNA:CR45303	1	0	0	0	1	0	0	
lncRNA:CR45693	10	6	7	6	5	8	7	
tRNA:Gly-GCC-1-4	0	0	0	0	0	0	0	
tRNA:Gly-GCC-1-5	0	0	0	1	1	0	0	
tRNA:Gly-GCC-1-6	1	0	1	0	0	0	0	
CG33648	0	1	0	2	0	1	2	
tRNA:Gly-GCC-1-7	0	0	0	0	0	0	0	
tRNA:Gly-GCC-2-1	0	0	0	0	0	0	0	
lncRNA:CR44852	0	1	0	0	1	0	1	
CG4218	0	4	0	1	1	0	1	
lncRNA:CR44853	0	0	0	0	2	0	0	
lncRNA:CR44854	5	2	3	5	4	4	2	
lncRNA:CR44855	8	7	4	5	6	14	6	
CG3473	0	1	0	0	3	0	0	
lncRNA:CR44856	1	2	0	0	0	0	1	
CG42680	44	147	15	30	27	38	30	
tRNA:Pro-AGG-1-2	0	0	0	0	0	0	0	
osp	4545	4319	3040	4708	4084	4880	3894	
tRNA:Pro-AGG-1-3	0	0	0	0	0	0	0	
tRNA:Pro-AGG-1-4	0	0	0	0	0	0	0	
lncRNA:CR43411	0	0	0	0	1	0	0	
Adh	2	1	0	0	0	1	0	
Adhr	0	0	0	0	0	0	0	
CG15282	643	820	337	738	663	986	732	
CG34165	49	30	23	47	48	86	40	
CG42685	2	3	1	1	1	0	0	
lncRNA:CR44857	0	0	0	0	0	0	0	
CG31835	0	0	0	0	0	0	0	
CG31775	12	35	6	68	66	93	113	
CG42585	0	0	0	0	0	0	0	
CG42586	105	327	23	370	142	320	396	
CG34166	5039	14782	2016	4223	3816	6443	5323	
CG42681	3	4	0	0	0	0	2	
CG42587	76	234	19	94	85	123	123	
lncRNA:CR45460	0	2	0	0	0	0	0	
lncRNA:CR45459	0	2	0	0	0	0	0	
CR45458	0	0	0	1	0	0	0	
CG4691	1	5	0	2	2	1	2	
lncRNA:CR44858	0	0	0	0	0	0	0	
CSN1a	0	0	0	0	0	0	0	
CG4701	0	1	1	0	0	0	1	
CG4650	40	71	9	11	7	14	15	
CR15280	0	0	0	0	1	0	0	
CG18636	5	3	1	3	3	4	7	
CG18420	1	3	2	4	5	2	4	
CG33308	1	0	0	2	0	0	1	
CG33309	0	1	0	3	0	1	1	
lncRNA:CR43805	0	0	0	1	0	0	0	
CG42682	0	0	0	0	0	0	0	
CG15279	298	243	141	220	197	234	420	
CG4480	0	1	0	0	1	0	0	
CG15278	0	0	0	0	0	0	0	
lncRNA:CR45727	0	0	0	0	0	0	0	
ProtA	0	1	0	1	2	0	1	
ProtB	0	2	0	0	1	0	3	
lncRNA:CR45302	0	0	0	0	0	0	1	
side-II	1094	995	681	1013	924	1029	813	
CG3491	1	2	2	2	1	4	5	
lncRNA:CR45331	0	0	0	0	0	0	0	
mol	267	150	161	130	130	201	117	
DCTN5-p25	670	701	439	743	652	713	668	
l(2)35Be	764	702	414	750	683	818	685	
NC2beta	1183	1150	695	1236	1097	1282	1105	
THG	595	595	345	620	539	645	569	
Rnmt	1192	1271	652	1355	1098	1463	1137	
lncRNA:CR43856	10	5	4	2	4	4	4	
GABA-B-R1	833	606	551	731	594	630	484	
CG33310	30	14	11	16	8	18	9	
CG31832	7	9	7	3	8	7	5	
yellow-c	335	394	170	464	426	252	159	
CIAPIN1	2512	2537	1309	2794	2293	2853	2579	
Su(H)	1663	1687	1049	1808	1555	1767	1414	
ck	5967	6644	3762	7552	5912	7432	4724	
CG33679	6	6	5	7	6	5	5	
TfIIS	6225	5995	3576	6983	5881	6947	6425	
solo	4	4	2	7	7	8	9	
vas	34	45	24	57	64	81	41	
vig	13385	13760	8009	15011	12433	14691	12593	
CG15270	1447	1193	915	1506	1237	1251	930	
CG15269	22	20	9	5	6	23	7	
stc	4883	4807	2819	5442	4689	5541	4504	
lncRNA:CR43853	0	0	0	0	0	0	0	
CR44706	0	0	0	0	0	0	0	
lncRNA:CR43854	0	0	0	0	0	0	0	
tRNA:Leu-TAA-3-1	0	0	0	0	0	0	0	
lncRNA:CR44771	2	3	0	2	0	1	1	
lncRNA:CR44770	1	0	0	0	0	0	0	
CG4168	776	670	489	686	575	648	516	
Sfp35C	0	0	0	0	0	0	0	
lncRNA:CR43357	0	0	0	0	0	0	0	
lncRNA:CR44196	0	0	0	0	0	0	0	
CG43230	0	0	0	0	0	0	0	
ZnT35C	14	28	10	16	15	15	40	
dao	860	786	553	917	838	795	577	
Pol32	1233	1048	687	1106	1061	1166	1125	
l(2)35Cc	616	559	357	656	577	694	698	
yuri	905	921	546	955	862	1064	791	
Cul3	7438	7893	5060	8823	7519	8784	6876	
UK114	157	359	106	188	197	199	227	
lncRNA:CR43682	0	0	0	2	2	1	2	
lncRNA:CR45349	0	0	0	0	0	1	0	
CG15263	0	0	0	0	1	0	0	
CG15260	0	1	0	0	1	0	1	
ms(2)35Ci	0	0	0	0	0	1	0	
lncRNA:CR43764	0	0	0	0	0	1	0	
CG15262	0	0	0	0	0	0	0	
nht	0	2	0	0	1	1	0	
esg	2849	3076	1723	3278	2737	3106	2536	
CG15258	1	5	0	0	1	0	2	
lncRNA:CR44859	0	1	0	0	0	1	0	
lncRNA:CR45373	0	0	0	0	0	0	0	
lncRNA:CR44860	0	0	0	0	0	0	0	
lncRNA:CR45374	0	0	0	0	0	0	0	
CG44869	0	0	0	0	0	0	1	
wor	964	905	609	1020	944	1040	858	
CG4161	1	1	0	0	0	1	1	
lncRNA:CR44861	0	0	0	1	0	1	0	
lncRNA:CR44862	2	3	2	2	2	2	0	
lncRNA:CR44863	0	0	0	1	0	0	0	
lncRNA:CR45353	0	0	0	0	0	0	0	
sna	437	431	257	473	423	517	367	
Tim17b2	0	2	0	0	0	0	1	
lncRNA:CR45293	0	0	0	0	0	0	0	
lace	3618	3596	2091	3929	3327	3858	3560	
lncRNA:CR44864	0	0	0	0	0	0	0	
lncRNA:CR43761	0	0	0	1	0	0	0	
Skadu	1	2	0	1	3	2	1	
lncRNA:CR45728	0	0	0	0	0	0	0	
CG15256	0	1	0	1	0	0	1	
kek3	677	559	384	605	494	583	384	
CG15255	1	1	25	2	0	0	0	
lncRNA:CR44865	0	0	0	0	0	0	0	
Semp1	0	0	0	0	0	0	0	
CG15254	0	0	13	0	1	0	0	
CG15253	0	0	0	0	0	0	0	
CG11865	0	2	0	0	0	0	0	
Or35a	1	1	0	1	0	0	1	
CG7631	0	1	0	0	0	0	0	
CG18480	25	77	50	23	23	26	46	
CG4587	1318	1113	734	1208	1018	1133	909	
CG44141	0	0	0	0	0	0	0	
CG18477	0	0	0	0	0	0	0	
CG18478	0	0	0	0	0	0	0	
CG43923	0	0	0	0	0	0	0	
CG44140	0	0	0	0	0	0	0	
CG31780	1	1	2	0	0	1	1	
CG31827	0	2	1	1	0	0	3	
CG43924	0	0	0	0	0	0	0	
CycE	3684	3960	2350	4399	3724	4286	3655	
lncRNA:CR44974	36	29	17	29	22	22	26	
asRNA:CR44866	0	0	0	1	2	2	1	
ND-B17	2308	2316	1392	2374	1976	2246	1890	
snRNA:U5:35D	1	0	1	0	2	0	1	
Mtr4	3531	3423	1958	4050	3571	3874	3363	
Gli	10884	12386	5758	13118	10906	13538	11041	
CG3793	2067	2073	1224	2206	1802	2069	1980	
wek	1063	988	594	1078	914	1040	995	
Ku80	1336	1159	704	1056	853	1078	968	
CG31826	0	1	0	1	0	0	2	
CG43760	0	0	0	0	0	0	0	
CG18109	0	1	0	0	1	0	1	
lncRNA:CR44602	0	1	0	0	0	0	0	
CG42876	0	0	0	2	2	3	2	
lncRNA:CR44601	0	0	0	0	0	0	0	
lncRNA:CR45368	0	0	0	0	0	0	0	
CG18518	0	0	0	0	1	0	0	
CR31822	0	0	0	0	0	0	0	
lncRNA:CR45694	0	0	1	0	0	0	0	
lncRNA:CR43763	0	1	0	0	0	0	0	
CG13243	0	0	0	1	1	1	1	
Tektin-A	0	2	0	0	3	1	3	
lncRNA:CR42791	1	16	0	1	0	1	1	
CG42792	19	106	11	22	16	8	21	
CG7653	0	0	0	1	0	0	0	
CG44475	2	21	3	6	4	4	1	
CR31824	2	2	2	1	0	1	0	
Tep1	1729	3892	3315	967	828	1129	1833	
CG31735	1	1	0	1	0	0	1	
CG31823	3	1	2	0	0	1	1	
CG31821	33	11	19	3	8	4	12	
beat-Ib	321	252	215	318	298	303	232	
lncRNA:CR44867	0	0	1	0	2	2	2	
lncRNA:CR44868	2	2	1	0	1	2	0	
CG13244	0	2	1	4	1	0	0	
CG4793	625	1204	589	383	337	394	748	
CG12448	1	1	0	2	0	0	0	
CG18063	0	1	0	3	0	0	0	
lncRNA:CR43803	0	3	0	0	0	0	1	
CG10839	0	0	0	0	1	0	0	
lncRNA:CR43412	0	0	0	0	0	0	0	
beat-Ic	475	454	333	738	620	627	450	
lncRNA:CR43825	7	3	2	26	19	18	8	
CG34167	11	2	4	29	24	41	13	
lncRNA:CR43826	4	2	1	29	19	17	8	
CG43816	0	0	0	0	0	0	0	
CG13245	0	0	0	0	0	0	0	
CG31820	0	1	0	3	4	0	1	
lncRNA:CR44844	0	0	0	0	0	2	0	
CG45084	0	0	0	0	0	0	0	
BicC	0	0	0	0	0	0	0	
beat-Ia	926	743	527	897	776	823	669	
lncRNA:CR44870	0	1	0	0	0	0	0	
CG4891	0	0	0	0	0	0	0	
CG4892	1	0	0	1	0	0	0	
CG34168	0	2	0	1	0	1	2	
lncRNA:CR44871	0	0	0	0	0	0	0	
Ca-alpha1D	1444	1120	827	1266	1066	971	754	
asRNA:CR43806	0	0	1	1	1	0	1	
lncRNA:CR44734	0	0	0	0	0	0	0	
lncRNA:CR44735	0	0	0	0	0	0	0	
lncRNA:CR44736	0	0	0	0	0	0	0	
CG31819	0	0	0	3	1	1	0	
lncRNA:CR43840	0	1	0	0	0	0	0	
CG42817	555	468	346	373	297	331	300	
CG42818	1	1	0	1	1	1	4	
PRL-1	1611	1637	1052	1796	1584	1857	1537	
CG46309	0	0	0	0	0	0	0	
EndoGI	3813	3771	2161	3702	3169	4094	3762	
twe	316	311	175	284	282	328	289	
CG4935	490	425	295	536	455	489	458	
crp	15590	15160	10319	16964	14474	15946	11838	
pkaap	1586	1575	927	1527	1295	1543	1352	
CG17329	17	20	4	15	14	26	19	
CG13258	21	23	12	77	61	56	41	
lncRNA:CR44899	9	11	8	28	18	13	9	
Cyp303a1	55	54	30	87	68	60	45	
heix	1933	2119	1092	2096	1749	2078	1781	
CG17328	368	374	249	386	344	397	352	
GMF	1523	1512	969	1553	1398	1658	1469	
c(2)M	37	43	28	27	29	26	16	
CG5861	2573	2501	1446	2657	2376	2555	2453	
Syx5	2863	2943	1765	3076	2573	3194	2699	
cni	2657	2485	1511	2706	2451	2601	2519	
fzy	5220	4991	3073	5697	4860	5669	5082	
cact	5631	5826	3618	5883	5009	6194	4676	
CG4278	1541	1435	878	1727	1436	1864	1688	
mRpL4	1626	1580	891	1383	1290	1497	1333	
CG4440	3	2	2	1	1	3	1	
CG31817	170	159	168	80	48	83	46	
CG42266	38	32	21	9	14	26	10	
CG44405	9	8	9	2	2	3	3	
chif	7507	7477	5016	8795	7422	8783	6366	
CG42231	0	0	0	0	0	0	0	
CG4455	6072	6375	4064	7759	6444	7673	6313	
CaBP1	18137	19655	10368	21934	18037	21494	17862	
jhamt	229	174	156	151	182	200	191	
CG5888	2791	2603	1776	2943	2582	2919	2511	
snoRNA:Me28S-A2958	0	2	2	0	3	0	0	
Idgf1	92	166	77	115	85	119	90	
Idgf2	1103	795	662	1167	1134	1264	1232	
Idgf3	3203	2540	2081	2602	2477	2938	2540	
dac	12259	13167	7435	12685	10988	12618	10427	
CG4580	10	5	12	4	10	6	11	
lncRNA:CR44994	2	8	4	12	19	9	16	
Tpr2	10845	11305	6683	12991	11287	13796	11477	
CG5953	618	633	345	601	554	701	466	
mir-4943	0	1	0	0	0	0	0	
snoRNA:Me28S-C1237	1	0	1	0	0	0	0	
lncRNA:CR45354	3	0	0	2	0	1	1	
lncRNA:CR45355	2	2	1	0	1	0	0	
CG31816	1	4	1	2	4	1	2	
CG42389	9514	10590	5531	10863	8916	11211	7764	
CG5968	1	1	1	1	1	0	0	
CG31815	0	1	0	4	0	2	2	
CG4631	0	1	0	3	1	4	4	
lncRNA:CR44151	2	1	1	2	3	1	2	
Trpgamma	22	25	14	19	19	28	19	
her	1753	1736	1163	1843	1586	1852	1579	
mir-2497	0	0	0	0	0	0	0	
grp	14071	14048	8234	16284	13738	16467	15122	
squ	429	359	272	469	362	436	375	
CG31807	20	32	19	33	31	29	24	
CG33552	17	12	6	13	12	9	8	
asRNA:CR44975	10	7	5	12	12	16	10	
mir-9c	0	0	0	0	2	0	1	
mir-306	0	0	0	1	0	0	0	
mir-79	0	2	1	0	0	0	0	
mir-9b	1	3	0	0	1	0	1	
CR43669	5	4	0	8	4	1	4	
CR43670	680	627	432	742	598	685	644	
CG31808	113	98	115	94	65	133	67	
Cyt-c-d	1	5	0	2	0	0	2	
Cyt-c-p	3398	3252	2139	4204	3505	4072	3906	
VhaSFD	7251	7816	4798	5763	4704	5547	4634	
mir-1006	0	0	0	0	0	0	0	
CR43671	1	5	1	55	63	74	55	
CG31812	194	178	154	231	219	257	222	
CG17996	0	0	0	0	0	0	0	
